@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute outputs-1 numeric
@attribute outputs-2 numeric
@attribute outputs-3 numeric

@data
331,'2018/02/15 22:47:22:575',1,1,1,0.09,1,0.14
332,'2018/02/15 22:47:22:607',1,1,1,0.09,1,0.14
333,'2018/02/15 22:47:22:623',1,4,4,0.09,1,0.14
334,'2018/02/15 22:47:22:640',1,1,1,0.09,1,0.14
335,'2018/02/15 22:47:22:657',1,1,1,0.09,1,0.14
336,'2018/02/15 22:47:22:673',1,1,1,0.09,1,0.14
337,'2018/02/15 22:47:22:690',1,1,1,0.09,1,0.14
338,'2018/02/15 22:47:22:706',1,2,2,0.09,1,0.14
339,'2018/02/15 22:47:22:724',1,2,2,0.09,1,0.14
340,'2018/02/15 22:47:22:739',1,1,1,0.09,1,0.14
341,'2018/02/15 22:47:22:759',1,1,1,0.09,1,0.14
342,'2018/02/15 22:47:22:774',1,1,1,0.09,1,0.14
343,'2018/02/15 22:47:22:791',1,0,0,0.09,1,0.14
344,'2018/02/15 22:47:22:807',1,0,0,0.09,1,0.14
345,'2018/02/15 22:47:22:826',1,0,0,0.09,1,0.14
346,'2018/02/15 22:47:22:842',1,0,0,0.09,1,0.14
347,'2018/02/15 22:47:22:874',1,0,0,0.09,1,0.14
348,'2018/02/15 22:47:22:894',1,0,0,0.09,1,0.14
349,'2018/02/15 22:47:22:910',1,-1,-1,0.09,1,0.14
350,'2018/02/15 22:47:22:926',1,-3,-3,0.09,1,0.14
351,'2018/02/15 22:47:22:942',1,-1,-1,0.09,1,0.14
352,'2018/02/15 22:47:22:961',1,-2,-2,0.09,1,0.14
353,'2018/02/15 22:47:22:976',1,-1,-1,0.09,1,0.14
354,'2018/02/15 22:47:22:993',1,-1,-1,0.09,1,0.14
355,'2018/02/15 22:47:23:010',1,-3,-3,0.09,1,0.14
356,'2018/02/15 22:47:23:028',1,-1,-1,0.09,1,0.14
357,'2018/02/15 22:47:23:052',1,-2,-2,0.09,1,0.14
358,'2018/02/15 22:47:23:084',1,-3,-3,0.09,1,0.14
359,'2018/02/15 22:47:23:102',1,-4,-4,0.09,1,0.14
360,'2018/02/15 22:47:23:119',1,-3,-3,0.09,1,0.14
361,'2018/02/15 22:47:23:136',1,-1,-1,0.09,1,0.14
362,'2018/02/15 22:47:23:152',1,-3,-3,0.09,1,0.14
363,'2018/02/15 22:47:23:168',1,-3,-3,0.09,1,0.14
364,'2018/02/15 22:47:23:184',1,-5,-5,0.09,1,0.14
365,'2018/02/15 22:47:23:202',1,-1,-1,0.09,1,0.14
366,'2018/02/15 22:47:23:220',1,-2,-2,0.09,1,0.14
367,'2018/02/15 22:47:23:235',1,-3,-3,0.09,1,0.14
368,'2018/02/15 22:47:23:252',1,-3,-3,0.09,1,0.14
369,'2018/02/15 22:47:23:269',1,-2,-2,0.09,1,0.14
370,'2018/02/15 22:47:23:287',1,-1,-1,0.09,1,0.14
371,'2018/02/15 22:47:23:304',1,-1,-1,0.09,1,0.14
372,'2018/02/15 22:47:23:320',1,-2,-2,0.09,1,0.14
373,'2018/02/15 22:47:23:337',1,-1,-1,0.09,1,0.14
374,'2018/02/15 22:47:23:356',1,-2,-2,0.09,1,0.14
375,'2018/02/15 22:47:23:371',1,-2,-2,0.09,1,0.14
376,'2018/02/15 22:47:23:403',1,-2,-2,0.09,1,0.14
377,'2018/02/15 22:47:23:423',1,-10,-10,0.09,1,0.14
378,'2018/02/15 22:47:23:438',1,-10,-10,0.09,1,0.14
379,'2018/02/15 22:47:23:455',1,-3,-3,0.09,1,0.14
380,'2018/02/15 22:47:23:471',1,-4,-4,0.09,1,0.14
381,'2018/02/15 22:47:23:489',1,-3,-3,0.09,1,0.14
382,'2018/02/15 22:47:23:506',1,-2,-2,0.09,1,0.14
383,'2018/02/15 22:47:23:538',1,-3,-3,0.09,1,0.14
384,'2018/02/15 22:47:23:555',1,-4,-4,0.09,1,0.14
385,'2018/02/15 22:47:23:571',1,-5,-5,0.09,1,0.14
386,'2018/02/15 22:47:23:590',1,-3,-3,0.09,1,0.14
387,'2018/02/15 22:47:23:606',1,-8,-8,0.09,1,0.14
388,'2018/02/15 22:47:23:637',1,-3,-3,0.09,1,0.14
389,'2018/02/15 22:47:23:657',1,-6,-6,0.09,1,0.14
